,Hit@1,Hit@5,Hit@10,Hit@30,MRR,std@1,std@5,std@10,std@30,std_MRR
Douban_(attr-0.0),0.492,0.723,0.790,0.882,0.591,0.003,0.002,0.000,0.000,0.002
Douban_(attr-0.0)_robust,0.493,0.724,0.790,0.882,0.592,0.001,0.001,0.000,0.000,0.001
Douban_(attr-0.1_strong),0.021,0.056,0.079,0.159,0.044,0.011,0.028,0.030,0.042,0.017
Douban_(attr-0.1_strong)_robust,0.020,0.054,0.078,0.158,0.043,0.003,0.014,0.015,0.021,0.007
Douban_(attr-0.2_strong),0.020,0.049,0.073,0.139,0.040,0.011,0.021,0.026,0.027,0.015
Douban_(attr-0.2_strong)_robust,0.020,0.049,0.075,0.143,0.040,0.005,0.009,0.011,0.014,0.006
Douban_(attr-0.3_strong),0.023,0.060,0.084,0.153,0.046,0.014,0.027,0.034,0.043,0.021
Douban_(attr-0.3_strong)_robust,0.024,0.064,0.087,0.159,0.048,0.009,0.018,0.021,0.033,0.014
Douban_(attr-0.4_strong),0.015,0.041,0.063,0.124,0.033,0.013,0.027,0.032,0.038,0.019
Douban_(attr-0.4_strong)_robust,0.012,0.037,0.058,0.117,0.029,0.004,0.010,0.012,0.010,0.006
Douban_(attr-0.5_strong),0.020,0.052,0.077,0.140,0.041,0.009,0.019,0.021,0.025,0.013
Douban_(attr-0.5_strong)_robust,0.020,0.055,0.081,0.146,0.042,0.003,0.009,0.013,0.014,0.006
Douban_(attr-0.6_strong),0.019,0.052,0.074,0.137,0.040,0.009,0.019,0.023,0.023,0.013
Douban_(attr-0.6_strong)_robust,0.019,0.048,0.070,0.134,0.038,0.002,0.004,0.005,0.004,0.003
Douban_(attr-0.7_strong),0.020,0.050,0.073,0.132,0.039,0.011,0.022,0.024,0.030,0.015
Douban_(attr-0.7_strong)_robust,0.019,0.051,0.075,0.135,0.040,0.005,0.014,0.014,0.008,0.009
Douban_(attr-0.8_strong),0.017,0.045,0.068,0.132,0.037,0.009,0.019,0.023,0.035,0.014
Douban_(attr-0.8_strong)_robust,0.017,0.047,0.071,0.135,0.037,0.003,0.009,0.014,0.024,0.006
Douban_(attr-0.9_strong),0.019,0.049,0.074,0.151,0.041,0.009,0.019,0.026,0.035,0.014
Douban_(attr-0.9_strong)_robust,0.020,0.045,0.069,0.146,0.039,0.003,0.005,0.005,0.007,0.003
